log_id,agent_id,course,completed_date,score,status
1,AG01,CS 기본과정,2022-06-15,88.0,이수
2,AG02,CS 기본과정,2021-12-10,91.0,이수
3,AG03,CS 기본과정,2023-01-05,,미이수
4,AG04,CS 기본과정,2022-03-15,79.0,이수
5,AG05,CS 기본과정,2022-08-01,85.0,이수
6,AG06,CS 기본과정,,76.0,이수
7,AG07,CS 기본과정,2023-02-20,,미이수
8,AG08,CS 기본과정,2022-09-10,90.0,이수
9,AG09,CS 기본과정,2023-03-11,,미이수
10,AG10,CS 기본과정,2022-05-22,82.0,이수
11,AG11,CS 기본과정,2021-11-30,95.0,이수
12,AG12,CS 기본과정,2022-07-04,89.0,이수
13,AG13,CS 기본과정,2022-09-19,84.0,이수
14,AG14,CS 기본과정,,,미이수
15,AG15,CS 기본과정,2022-04-02,92.0,이수
16,AG16,CS 기본과정,2023-05-08,,미이수
17,AG17,CS 기본과정,2022-03-14,87.0,이수
18,AG18,CS 기본과정,2021-10-25,80.0,이수
19,AG19,CS 기본과정,2023-06-01,,미이수
20,AG20,CS 기본과정,2023-07-15,,미이수
