customer_id,acquisition_channel,acquisition_campaign,acquisition_cost,signup_device
CUST00356,SNS광고,SNS광고_2024_A,161954,모바일앱
CUST00109,지인추천,,2728,PC웹
CUST00009,지인추천,,3204,모바일앱
CUST00141,SNS광고,SNS광고_시즌프로모션,145316,모바일앱
CUST00040,오프라인매장,,45141,모바일앱
CUST00053,자사앱푸시,자사앱푸시_시즌프로모션,9580,모바일웹
CUST00384,지인추천,,3608,모바일앱
CUST00162,오프라인매장,,52221,모바일앱
CUST00383,검색광고,검색광고_2024_A,55001,PC웹
CUST00216,지인추천,,3121,모바일앱
CUST00393,지인추천,,4869,모바일앱
CUST00123,검색광고,검색광고_시즌프로모션,78600,모바일앱
CUST00265,검색광고,검색광고_2024_B,38313,모바일웹
CUST00322,SNS광고,SNS광고_2024_B,159196,모바일앱
CUST00007,SNS광고,SNS광고_시즌프로모션,182460,PC웹
CUST00160,지인추천,,2122,모바일웹
CUST00126,검색광고,검색광고_2024_B,58955,모바일웹
CUST00252,SNS광고,SNS광고_2024_B,146377,모바일앱
CUST00069,검색광고,검색광고_시즌프로모션,57288,모바일앱
CUST00104,검색광고,검색광고_시즌프로모션,51447,모바일웹
CUST00352,SNS광고,SNS광고_2024_A,160359,모바일앱
CUST00090,SNS광고,SNS광고_2024_A,161479,모바일앱
CUST00114,SNS광고,SNS광고_2024_B,96314,모바일앱
CUST00170,자사앱푸시,자사앱푸시_2024_B,8846,모바일웹
CUST00315,SNS광고,SNS광고_시즌프로모션,138294,PC웹
CUST00323,SNS광고,SNS광고_시즌프로모션,210630,모바일앱
CUST00030,제휴사,,28073,모바일웹
CUST00378,검색광고,검색광고_2024_A,61584,모바일앱
CUST00181,제휴사,,25465,모바일앱
CUST00052,지인추천,,3592,모바일앱
CUST00194,검색광고,검색광고_시즌프로모션,66735,PC웹
CUST00328,지인추천,,2949,모바일웹
CUST00355,지인추천,,3425,모바일웹
CUST00246,제휴사,,30115,PC웹
CUST00039,SNS광고,SNS광고_시즌프로모션,147656,모바일웹
CUST00098,자사앱푸시,자사앱푸시_시즌프로모션,12778,모바일웹
CUST00045,SNS광고,SNS광고_시즌프로모션,125537,모바일앱
