month,channel,spend,impressions,clicks,signups
2019-01,SNS광고,148911,7170.0,113.0,1
2019-01,검색광고,26832,1339.0,74.0,0
2019-01,자사앱푸시,4397,1349.0,88.0,0
2019-01,지인추천,91,,,0
2019-01,제휴사,7107,,,0
2019-01,오프라인매장,12893,,,0
2019-02,SNS광고,264770,15175.0,358.0,2
2019-02,검색광고,23763,1470.0,73.0,0
2019-02,자사앱푸시,9476,2898.0,251.0,1
2019-02,지인추천,3330,,,1
2019-02,제휴사,83033,,,3
2019-02,오프라인매장,12971,,,0
2019-03,SNS광고,184960,7884.0,172.0,1
2019-03,검색광고,11955,598.0,37.0,0
2019-03,자사앱푸시,11940,4501.0,329.0,1
2019-03,지인추천,6975,,,2
2019-03,제휴사,6494,,,0
2019-03,오프라인매장,10480,,,0
2019-04,SNS광고,117064,8298.0,163.0,1
2019-04,검색광고,1837,102.0,4.0,0
2019-04,자사앱푸시,228,86.0,7.0,0
2019-04,지인추천,3921,,,1
2019-04,제휴사,31149,,,1
2019-04,오프라인매장,19733,,,0
2019-05,SNS광고,391132,27113.0,518.0,3
2019-05,검색광고,23546,1334.0,66.0,0
2019-05,자사앱푸시,9024,3163.0,363.0,1
2019-05,지인추천,616,,,0
2019-05,제휴사,16152,,,1
2019-05,오프라인매장,17677,,,0
2019-06,SNS광고,130450,7621.0,174.0,1
2019-06,검색광고,64437,3196.0,189.0,1
2019-06,자사앱푸시,4026,1250.0,86.0,0
2019-06,지인추천,3506,,,1
2019-06,제휴사,2470,,,0
2019-06,오프라인매장,12705,,,0
2019-07,SNS광고,57040,1211.0,19.0,0
2019-07,검색광고,13156,641.0,30.0,0
2019-07,자사앱푸시,3304,977.0,90.0,1
2019-07,지인추천,101,,,0
2019-07,제휴사,9777,,,0
2019-07,오프라인매장,19561,,,0
2019-08,SNS광고,329869,18268.0,308.0,2
2019-08,검색광고,4849,261.0,13.0,0
2019-08,자사앱푸시,3383,1064.0,82.0,0
2019-08,지인추천,4036,,,1
2019-08,제휴사,3787,,,0
2019-08,오프라인매장,33397,,,1
2019-09,SNS광고,376121,17981.0,452.0,2
2019-09,검색광고,17682,1070.0,76.0,0
2019-09,자사앱푸시,4004,1497.0,158.0,0
2019-09,지인추천,3833,,,1
2019-09,제휴사,197,,,0
2019-09,오프라인매장,39436,,,1
2019-10,SNS광고,305892,16202.0,337.0,2
2019-10,검색광고,43401,2606.0,109.0,1
2019-10,자사앱푸시,5741,2081.0,226.0,1
2019-10,지인추천,1265,,,0
2019-10,제휴사,33606,,,1
2019-10,오프라인매장,9639,,,0
2019-11,SNS광고,219699,8598.0,217.0,1
2019-11,검색광고,46618,2585.0,124.0,1
2019-11,자사앱푸시,878,253.0,28.0,0
2019-11,지인추천,1209,,,0
2019-11,제휴사,39083,,,1
2019-11,오프라인매장,4211,,,0
2019-12,SNS광고,290602,15489.0,386.0,2
2019-12,검색광고,18636,1111.0,51.0,0
2019-12,자사앱푸시,4340,1343.0,115.0,0
2019-12,지인추천,3580,,,1
2019-12,제휴사,31123,,,1
2019-12,오프라인매장,18524,,,0
2020-01,SNS광고,648450,27513.0,455.0,3
2020-01,검색광고,102918,5732.0,408.0,2
2020-01,자사앱푸시,10744,3267.0,297.0,1
2020-01,지인추천,4711,,,1
2020-01,제휴사,4940,,,0
2020-01,오프라인매장,8917,,,0
2020-02,SNS광고,14662,285.0,5.0,0
2020-02,검색광고,110011,6256.0,383.0,2
2020-02,자사앱푸시,9704,3148.0,266.0,1
2020-02,지인추천,2202,,,1
2020-02,제휴사,9122,,,0
2020-02,오프라인매장,39612,,,1
2020-03,SNS광고,306746,16507.0,270.0,2
2020-03,검색광고,12755,651.0,42.0,0
2020-03,자사앱푸시,24860,9038.0,699.0,2
2020-03,지인추천,2794,,,1
2020-03,제휴사,1687,,,0
2020-03,오프라인매장,71432,,,1
2020-04,SNS광고,219031,7644.0,184.0,1
2020-04,검색광고,965,46.0,2.0,0
2020-04,자사앱푸시,10327,3143.0,353.0,1
2020-04,지인추천,9998,,,3
2020-04,제휴사,2845,,,0
2020-04,오프라인매장,20818,,,0
2020-05,SNS광고,207645,8630.0,199.0,1
2020-05,검색광고,42527,2514.0,174.0,1
2020-05,자사앱푸시,1985,735.0,67.0,0
2020-05,지인추천,1690,,,1
2020-05,제휴사,9366,,,0
2020-05,오프라인매장,55859,,,1
2020-06,SNS광고,375994,15357.0,307.0,2
2020-06,검색광고,16022,845.0,54.0,0
2020-06,자사앱푸시,1110,396.0,39.0,0
2020-06,지인추천,273,,,0
2020-06,제휴사,12007,,,0
2020-06,오프라인매장,22028,,,0
2020-07,SNS광고,179137,7963.0,172.0,1
2020-07,검색광고,27132,1298.0,67.0,0
2020-07,자사앱푸시,1278,462.0,38.0,0
2020-07,지인추천,4318,,,1
2020-07,제휴사,3766,,,0
2020-07,오프라인매장,8084,,,0
2020-08,SNS광고,215068,8729.0,209.0,1
2020-08,검색광고,6054,350.0,19.0,0
2020-08,자사앱푸시,11359,3280.0,268.0,2
2020-08,지인추천,3479,,,1
2020-08,제휴사,4955,,,0
2020-08,오프라인매장,1221,,,0
2020-09,SNS광고,172472,7727.0,188.0,1
2020-09,검색광고,69232,4212.0,192.0,2
2020-09,자사앱푸시,3506,1078.0,81.0,0
2020-09,지인추천,6631,,,2
2020-09,제휴사,8875,,,0
2020-09,오프라인매장,50362,,,1
2020-10,SNS광고,212083,8412.0,165.0,1
2020-10,검색광고,100472,5710.0,257.0,1
2020-10,자사앱푸시,3652,1162.0,109.0,0
2020-10,지인추천,4920,,,1
2020-10,제휴사,11286,,,0
2020-10,오프라인매장,7971,,,0
2020-11,SNS광고,175734,7612.0,114.0,1
2020-11,검색광고,215768,10255.0,729.0,4
2020-11,자사앱푸시,596,217.0,20.0,0
2020-11,지인추천,3157,,,1
2020-11,제휴사,11027,,,0
2020-11,오프라인매장,12531,,,0
2020-12,SNS광고,490964,16402.0,297.0,2
2020-12,검색광고,84445,4149.0,268.0,1
2020-12,자사앱푸시,690,212.0,22.0,0
2020-12,지인추천,994,,,0
2020-12,제휴사,971,,,0
2020-12,오프라인매장,7383,,,0
2021-01,SNS광고,179359,8805.0,219.0,1
2021-01,검색광고,15642,799.0,45.0,0
2021-01,자사앱푸시,2746,948.0,66.0,0
2021-01,지인추천,978,,,0
2021-01,제휴사,925,,,0
2021-01,오프라인매장,42392,,,1
2021-02,SNS광고,327051,14599.0,243.0,2
2021-02,검색광고,20429,1026.0,67.0,0
2021-02,자사앱푸시,3421,1130.0,101.0,0
2021-02,지인추천,9260,,,3
2021-02,제휴사,6147,,,0
2021-02,오프라인매장,14447,,,0
2021-03,SNS광고,216713,7262.0,146.0,1
2021-03,검색광고,68168,4188.0,229.0,1
2021-03,자사앱푸시,4329,1421.0,103.0,0
2021-03,지인추천,5270,,,1
2021-03,제휴사,7,,,0
2021-03,오프라인매장,18461,,,0
2021-04,SNS광고,455353,21491.0,447.0,3
2021-04,검색광고,150678,9305.0,409.0,2
2021-04,자사앱푸시,5824,1839.0,179.0,1
2021-04,지인추천,9848,,,3
2021-04,제휴사,37616,,,1
2021-04,오프라인매장,75609,,,2
2021-05,SNS광고,100603,8333.0,192.0,1
2021-05,검색광고,27467,1373.0,65.0,0
2021-05,자사앱푸시,1182,403.0,47.0,0
2021-05,지인추천,763,,,0
2021-05,제휴사,26182,,,1
2021-05,오프라인매장,22390,,,0
2021-06,SNS광고,338775,16808.0,403.0,2
2021-06,검색광고,115962,6210.0,441.0,3
2021-06,자사앱푸시,4077,1480.0,114.0,0
2021-06,지인추천,6139,,,2
2021-06,제휴사,21467,,,1
2021-06,오프라인매장,12132,,,0
2021-07,SNS광고,181222,8103.0,186.0,1
2021-07,검색광고,9093,439.0,19.0,0
2021-07,자사앱푸시,5028,1648.0,124.0,1
2021-07,지인추천,4067,,,1
2021-07,제휴사,264,,,0
2021-07,오프라인매장,4248,,,0
2021-08,SNS광고,566774,23312.0,344.0,3
2021-08,검색광고,15997,746.0,49.0,0
2021-08,자사앱푸시,8522,2930.0,254.0,1
2021-08,지인추천,4107,,,1
2021-08,제휴사,21102,,,1
2021-08,오프라인매장,21433,,,0
2021-09,SNS광고,161522,7529.0,187.0,1
2021-09,검색광고,4126,204.0,12.0,0
2021-09,자사앱푸시,2697,1021.0,91.0,0
2021-09,지인추천,691,,,0
2021-09,제휴사,26933,,,1
2021-09,오프라인매장,1103,,,0
2021-10,SNS광고,53355,912.0,17.0,0
2021-10,검색광고,16786,990.0,64.0,0
2021-10,자사앱푸시,23839,6999.0,620.0,2
2021-10,지인추천,7737,,,2
2021-10,제휴사,37389,,,2
2021-10,오프라인매장,5366,,,0
2021-11,SNS광고,381826,16235.0,261.0,2
2021-11,검색광고,153411,9435.0,425.0,3
2021-11,자사앱푸시,80,29.0,3.0,0
2021-11,지인추천,1106,,,0
2021-11,제휴사,11323,,,0
2021-11,오프라인매장,13207,,,0
2021-12,SNS광고,146829,9207.0,196.0,1
2021-12,검색광고,30597,1626.0,93.0,1
2021-12,자사앱푸시,9739,3479.0,233.0,1
2021-12,지인추천,1231,,,0
2021-12,제휴사,28542,,,1
2021-12,오프라인매장,7493,,,0
2022-01,SNS광고,841476,35664.0,657.0,4
2022-01,검색광고,6038,325.0,22.0,0
2022-01,자사앱푸시,10683,3256.0,356.0,1
2022-01,지인추천,1234,,,0
2022-01,제휴사,7733,,,0
2022-01,오프라인매장,54508,,,1
