event_id,customer_id,event_date,event_type,from_grade,to_grade
ME00001,CUST00001,2020-11-24,가입,,일반
ME00002,CUST00001,2022-05-15,등급상승,일반,GOLD
ME00003,CUST00001,2025-09-07,이탈,GOLD,
ME00004,CUST00002,2019-10-19,가입,,일반
ME00005,CUST00002,2019-11-06,등급상승,일반,SILVER
ME00006,CUST00003,2020-11-15,가입,,일반
ME00007,CUST00003,2020-11-25,등급상승,일반,SILVER
ME00008,CUST00004,2021-11-23,가입,,일반
ME00009,CUST00004,2021-12-10,등급상승,일반,SILVER
ME00010,CUST00006,2022-03-22,가입,,일반
ME00011,CUST00006,2022-04-12,등급상승,일반,GOLD
ME00012,CUST00007,2024-08-16,가입,,일반
ME00013,CUST00007,2024-08-22,등급상승,일반,SILVER
ME00014,CUST00008,2021-05-13,가입,,일반
ME00015,CUST00008,2024-04-03,등급상승,일반,SILVER
ME00016,CUST00008,2024-04-14,이탈,SILVER,
ME00017,CUST00009,2024-12-20,가입,,일반
ME00018,CUST00011,2025-12-28,가입,,일반
ME00019,CUST00011,2026-01-19,등급상승,일반,VIP
ME00020,CUST00012,2025-02-08,가입,,일반
ME00021,CUST00012,2025-02-12,등급상승,일반,SILVER
ME00022,CUST00013,2021-04-02,가입,,일반
ME00023,CUST00013,2021-04-14,등급상승,일반,GOLD
ME00024,CUST00014,2020-11-12,가입,,일반
ME00025,CUST00016,2021-02-20,가입,,일반
ME00026,CUST00017,2025-07-15,가입,,일반
ME00027,CUST00017,2025-08-02,등급상승,일반,BRONZE
ME00028,CUST00018,2025-02-21,가입,,일반
ME00029,CUST00019,2024-06-08,가입,,일반
ME00030,CUST00019,2024-07-03,등급상승,일반,BRONZE
ME00031,CUST00020,2025-08-16,가입,,일반
ME00032,CUST00021,2025-11-11,가입,,일반
ME00033,CUST00021,2025-11-22,등급상승,일반,SILVER
ME00034,CUST00022,2025-03-23,가입,,일반
ME00035,CUST00022,2025-04-04,등급상승,일반,SILVER
ME00036,CUST00023,2020-05-28,가입,,일반
ME00037,CUST00023,2020-06-13,등급상승,일반,SILVER
ME00038,CUST00025,2021-02-09,가입,,일반
ME00039,CUST00025,2021-03-03,등급상승,일반,SILVER
ME00040,CUST00026,2020-11-15,가입,,일반
ME00041,CUST00026,2020-12-04,등급상승,일반,VIP
ME00042,CUST00027,2019-08-09,가입,,일반
ME00043,CUST00027,2019-09-02,등급상승,일반,BRONZE
ME00044,CUST00028,2023-11-26,가입,,일반
ME00045,CUST00028,2023-12-25,등급상승,일반,SILVER
ME00046,CUST00029,2022-01-05,가입,,일반
ME00047,CUST00029,2022-01-23,등급상승,일반,SILVER
ME00048,CUST00030,2022-06-04,가입,,일반
ME00049,CUST00030,2022-06-06,등급상승,일반,BRONZE
ME00050,CUST00031,2020-03-11,가입,,일반
ME00051,CUST00031,2020-03-27,등급상승,일반,SILVER
ME00052,CUST00033,2019-10-17,가입,,일반
ME00053,CUST00034,2022-05-30,가입,,일반
ME00054,CUST00035,2025-09-02,가입,,일반
ME00055,CUST00035,2025-09-08,등급상승,일반,BRONZE
ME00056,CUST00036,2020-04-25,가입,,일반
ME00057,CUST00036,2020-05-04,등급상승,일반,GOLD
ME00058,CUST00037,2025-05-12,가입,,일반
ME00059,CUST00037,2025-06-09,등급상승,일반,SILVER
ME00060,CUST00039,2022-06-08,가입,,일반
ME00061,CUST00039,2022-07-07,등급상승,일반,GOLD
ME00062,CUST00040,2023-10-23,가입,,일반
ME00063,CUST00040,2024-04-14,등급상승,일반,BRONZE
ME00064,CUST00040,2025-08-19,이탈,BRONZE,
ME00065,CUST00041,2021-04-05,가입,,일반
ME00066,CUST00041,2021-04-27,등급상승,일반,SILVER
ME00067,CUST00042,2022-11-24,가입,,일반
ME00068,CUST00042,2022-12-23,등급상승,일반,BRONZE
ME00069,CUST00043,2020-02-16,가입,,일반
ME00070,CUST00044,2023-08-15,가입,,일반
ME00071,CUST00044,2023-08-23,등급상승,일반,BRONZE
ME00072,CUST00045,2021-04-01,가입,,일반
ME00073,CUST00045,2021-04-12,등급상승,일반,GOLD
ME00074,CUST00046,2020-09-24,가입,,일반
ME00075,CUST00046,2020-10-18,등급상승,일반,BRONZE
ME00076,CUST00047,2024-05-24,가입,,일반
ME00077,CUST00047,2024-06-06,등급상승,일반,SILVER
ME00078,CUST00048,2020-05-17,가입,,일반
ME00079,CUST00048,2020-06-09,등급상승,일반,BRONZE
ME00080,CUST00049,2019-04-22,가입,,일반
ME00081,CUST00050,2025-10-09,가입,,일반
ME00082,CUST00051,2022-01-03,가입,,일반
ME00083,CUST00051,2022-01-08,등급상승,일반,BRONZE
ME00084,CUST00052,2025-10-21,가입,,일반
ME00085,CUST00053,2025-10-28,가입,,일반
ME00086,CUST00053,2025-12-29,등급상승,일반,BRONZE
ME00087,CUST00053,2025-12-31,이탈,BRONZE,
ME00088,CUST00054,2019-05-01,가입,,일반
ME00089,CUST00055,2021-08-06,가입,,일반
ME00090,CUST00056,2021-10-16,가입,,일반
ME00091,CUST00056,2021-11-06,등급상승,일반,SILVER
ME00092,CUST00057,2024-10-12,가입,,일반
ME00093,CUST00058,2023-12-09,가입,,일반
ME00094,CUST00059,2025-03-13,가입,,일반
ME00095,CUST00059,2025-04-11,등급상승,일반,BRONZE
ME00096,CUST00060,2019-05-18,가입,,일반
ME00097,CUST00060,2019-05-29,등급상승,일반,BRONZE
ME00098,CUST00061,2024-04-20,가입,,일반
ME00099,CUST00061,2024-08-11,등급상승,일반,SILVER
ME00100,CUST00061,2024-09-21,이탈,SILVER,
ME00101,CUST00062,2022-06-04,가입,,일반
ME00102,CUST00062,2024-04-04,등급상승,일반,BRONZE
ME00103,CUST00062,2025-07-25,이탈,BRONZE,
ME00104,CUST00063,2024-03-27,가입,,일반
ME00105,CUST00063,2024-03-29,등급상승,일반,BRONZE
ME00106,CUST00064,2025-09-07,가입,,일반
