event_id,customer_id,event_date,days_since_signup,feature,signup_device
PE00001,CUST00001,2020-11-25,1,첫주문,모바일앱
PE00002,CUST00001,2020-12-06,12,리뷰작성,모바일앱
PE00003,CUST00001,2020-12-08,14,장바구니담기,모바일앱
PE00004,CUST00001,2020-12-13,19,리뷰작성,모바일앱
PE00005,CUST00002,2019-10-20,1,첫주문,모바일앱
PE00006,CUST00002,2019-11-10,22,쿠폰다운로드,모바일앱
PE00007,CUST00002,2019-11-10,22,위시리스트추가,모바일앱
PE00008,CUST00003,2020-11-16,1,첫주문,모바일앱
PE00009,CUST00003,2020-11-27,12,자동결제등록,모바일앱
PE00010,CUST00003,2020-11-29,14,앱푸시동의,모바일앱
PE00011,CUST00003,2020-12-02,17,쿠폰다운로드,모바일앱
PE00012,CUST00003,2020-12-09,24,자동결제등록,모바일앱
PE00013,CUST00003,2020-12-09,24,자동결제등록,모바일앱
PE00014,CUST00003,2020-12-13,28,앱푸시동의,모바일앱
PE00015,CUST00004,2021-11-26,3,첫주문,모바일앱
PE00016,CUST00004,2021-12-01,8,위시리스트추가,모바일앱
PE00017,CUST00004,2021-12-10,17,리뷰작성,모바일앱
PE00018,CUST00004,2021-12-18,25,쿠폰다운로드,모바일앱
PE00019,CUST00006,2022-03-26,4,첫주문,모바일앱
PE00020,CUST00006,2022-03-29,7,위시리스트추가,모바일앱
PE00021,CUST00006,2022-04-20,29,쿠폰다운로드,모바일앱
PE00022,CUST00006,2022-04-20,29,앱푸시동의,모바일앱
PE00023,CUST00007,2024-08-16,0,앱푸시동의,PC웹
PE00024,CUST00007,2024-08-30,14,쿠폰다운로드,PC웹
PE00025,CUST00007,2024-09-14,29,앱푸시동의,PC웹
PE00026,CUST00008,2021-05-13,0,장바구니담기,모바일웹
PE00027,CUST00008,2021-05-18,5,앱푸시동의,모바일웹
PE00028,CUST00008,2021-06-07,25,첫주문,모바일웹
PE00029,CUST00009,2024-12-25,5,첫주문,모바일앱
PE00030,CUST00009,2025-01-01,12,위시리스트추가,모바일앱
PE00031,CUST00009,2025-01-18,29,장바구니담기,모바일앱
PE00032,CUST00011,2025-12-29,1,첫주문,PC웹
PE00033,CUST00011,2025-12-29,1,자동결제등록,PC웹
PE00034,CUST00011,2026-01-07,10,위시리스트추가,PC웹
PE00035,CUST00012,2025-02-09,1,첫주문,모바일앱
PE00036,CUST00012,2025-03-01,21,위시리스트추가,모바일앱
PE00037,CUST00012,2025-03-06,26,리뷰작성,모바일앱
PE00038,CUST00013,2021-04-05,3,자동결제등록,모바일웹
PE00039,CUST00013,2021-04-06,4,첫주문,모바일웹
PE00040,CUST00013,2021-04-17,15,리뷰작성,모바일웹
PE00041,CUST00013,2021-04-19,17,리뷰작성,모바일웹
PE00042,CUST00013,2021-04-24,22,위시리스트추가,모바일웹
PE00043,CUST00013,2021-04-30,28,장바구니담기,모바일웹
PE00044,CUST00014,2020-11-15,3,첫주문,PC웹
PE00045,CUST00014,2020-11-23,11,리뷰작성,PC웹
PE00046,CUST00016,2021-02-22,2,쿠폰다운로드,모바일앱
PE00047,CUST00016,2021-03-06,14,위시리스트추가,모바일앱
PE00048,CUST00016,2021-03-06,14,앱푸시동의,모바일앱
PE00049,CUST00016,2021-03-10,18,앱푸시동의,모바일앱
PE00050,CUST00016,2021-03-13,21,쿠폰다운로드,모바일앱
PE00051,CUST00017,2025-07-17,2,첫주문,PC웹
PE00052,CUST00017,2025-07-24,9,위시리스트추가,PC웹
PE00053,CUST00017,2025-08-07,23,자동결제등록,PC웹
PE00054,CUST00017,2025-08-08,24,리뷰작성,PC웹
PE00055,CUST00018,2025-02-21,0,위시리스트추가,PC웹
PE00056,CUST00018,2025-03-10,17,자동결제등록,PC웹
PE00057,CUST00018,2025-03-14,21,위시리스트추가,PC웹
PE00058,CUST00018,2025-03-16,23,첫주문,PC웹
PE00059,CUST00019,2024-06-12,4,첫주문,모바일앱
PE00060,CUST00019,2024-07-01,23,앱푸시동의,모바일앱
PE00061,CUST00019,2024-07-06,28,쿠폰다운로드,모바일앱
PE00062,CUST00020,2025-08-20,4,장바구니담기,모바일앱
PE00063,CUST00020,2025-08-21,5,첫주문,모바일앱
PE00064,CUST00020,2025-09-05,20,장바구니담기,모바일앱
PE00065,CUST00021,2025-11-12,1,첫주문,모바일앱
PE00066,CUST00021,2025-11-12,1,자동결제등록,모바일앱
PE00067,CUST00021,2025-11-27,16,리뷰작성,모바일앱
PE00068,CUST00022,2025-04-11,19,리뷰작성,모바일앱
PE00069,CUST00022,2025-04-12,20,리뷰작성,모바일앱
PE00070,CUST00023,2020-05-29,1,첫주문,모바일앱
PE00071,CUST00023,2020-05-30,2,위시리스트추가,모바일앱
PE00072,CUST00023,2020-05-31,3,자동결제등록,모바일앱
PE00073,CUST00023,2020-06-24,27,장바구니담기,모바일앱
PE00074,CUST00025,2021-02-15,6,첫주문,모바일앱
PE00075,CUST00025,2021-03-10,29,앱푸시동의,모바일앱
PE00076,CUST00026,2020-11-29,14,자동결제등록,모바일앱
PE00077,CUST00026,2020-11-30,15,첫주문,모바일앱
PE00078,CUST00026,2020-12-08,23,앱푸시동의,모바일앱
PE00079,CUST00027,2019-08-09,0,첫주문,모바일앱
PE00080,CUST00027,2019-08-14,5,앱푸시동의,모바일앱
PE00081,CUST00027,2019-08-17,8,자동결제등록,모바일앱
PE00082,CUST00027,2019-08-22,13,앱푸시동의,모바일앱
PE00083,CUST00027,2019-08-29,20,리뷰작성,모바일앱
PE00084,CUST00028,2023-11-26,0,첫주문,모바일앱
PE00085,CUST00029,2022-01-11,6,위시리스트추가,모바일앱
PE00086,CUST00030,2022-06-04,0,첫주문,모바일웹
PE00087,CUST00030,2022-06-20,16,위시리스트추가,모바일웹
PE00088,CUST00031,2020-03-16,5,위시리스트추가,모바일앱
PE00089,CUST00031,2020-03-27,16,앱푸시동의,모바일앱
PE00090,CUST00031,2020-04-04,24,첫주문,모바일앱
PE00091,CUST00033,2019-10-17,0,첫주문,PC웹
PE00092,CUST00033,2019-10-31,14,쿠폰다운로드,PC웹
PE00093,CUST00034,2022-06-02,3,첫주문,모바일앱
PE00094,CUST00034,2022-06-20,21,쿠폰다운로드,모바일앱
PE00095,CUST00035,2025-09-05,3,첫주문,PC웹
PE00096,CUST00035,2025-09-07,5,장바구니담기,PC웹
PE00097,CUST00035,2025-09-12,10,장바구니담기,PC웹
PE00098,CUST00036,2020-04-28,3,첫주문,모바일앱
PE00099,CUST00036,2020-05-02,7,앱푸시동의,모바일앱
PE00100,CUST00036,2020-05-09,14,자동결제등록,모바일앱
PE00101,CUST00036,2020-05-15,20,위시리스트추가,모바일앱
PE00102,CUST00036,2020-05-20,25,위시리스트추가,모바일앱
PE00103,CUST00036,2020-05-21,26,장바구니담기,모바일앱
PE00104,CUST00036,2020-05-23,28,장바구니담기,모바일앱
PE00105,CUST00037,2025-05-13,1,위시리스트추가,모바일앱
PE00106,CUST00037,2025-05-16,4,첫주문,모바일앱
PE00107,CUST00039,2022-06-08,0,첫주문,모바일웹
PE00108,CUST00039,2022-06-15,7,쿠폰다운로드,모바일웹
PE00109,CUST00041,2021-04-06,1,자동결제등록,모바일앱
PE00110,CUST00041,2021-04-09,4,첫주문,모바일앱
PE00111,CUST00041,2021-04-15,10,리뷰작성,모바일앱
PE00112,CUST00042,2022-11-30,6,첫주문,모바일앱
PE00113,CUST00042,2022-12-23,29,장바구니담기,모바일앱
PE00114,CUST00043,2020-02-18,2,첫주문,모바일앱
PE00115,CUST00043,2020-03-08,21,위시리스트추가,모바일앱
PE00116,CUST00043,2020-03-10,23,자동결제등록,모바일앱
PE00117,CUST00043,2020-03-13,26,위시리스트추가,모바일앱
PE00118,CUST00044,2023-08-15,0,앱푸시동의,모바일앱
PE00119,CUST00044,2023-08-23,8,앱푸시동의,모바일앱
PE00120,CUST00045,2021-04-02,1,첫주문,모바일앱
PE00121,CUST00045,2021-04-07,6,위시리스트추가,모바일앱
PE00122,CUST00045,2021-04-18,17,위시리스트추가,모바일앱
PE00123,CUST00045,2021-04-28,27,위시리스트추가,모바일앱
PE00124,CUST00046,2020-09-29,5,첫주문,PC웹
PE00125,CUST00046,2020-10-01,7,리뷰작성,PC웹
PE00126,CUST00046,2020-10-03,9,앱푸시동의,PC웹
PE00127,CUST00046,2020-10-03,9,자동결제등록,PC웹
PE00128,CUST00047,2024-05-31,7,위시리스트추가,모바일앱
PE00129,CUST00047,2024-06-12,19,자동결제등록,모바일앱
PE00130,CUST00048,2020-05-22,5,첫주문,PC웹
PE00131,CUST00048,2020-05-22,5,자동결제등록,PC웹
PE00132,CUST00048,2020-06-04,18,위시리스트추가,PC웹
