referral_id,referrer_customer_id,referred_customer_id,referral_date,reward_amount,reward_paid_date
REF0001,CUST00265,CUST00041,2021-03-28,10000,2021-04-25
REF0002,CUST00157,CUST00094,2023-02-01,3000,2023-03-15
REF0003,CUST00072,CUST00223,2019-12-29,5000,2020-02-20
REF0004,CUST00072,CUST00182,2025-03-15,10000,2025-06-11
REF0005,CUST00276,CUST00353,2025-01-13,3000,2025-02-11
REF0006,CUST00319,CUST00120,2024-08-12,10000,2024-08-30
REF0007,CUST00160,CUST00044,2023-06-27,5000,
REF0008,CUST00246,CUST00357,2025-07-21,5000,2025-08-25
REF0009,CUST00258,CUST00063,2024-02-28,5000,2024-05-09
REF0010,CUST00004,CUST00056,2021-08-22,10000,2021-10-29
REF0011,CUST00249,CUST00052,2025-09-19,10000,2025-11-15
REF0012,CUST00373,CUST00201,2024-01-06,5000,2024-03-16
REF0013,CUST00248,CUST00277,2024-03-30,3000,2024-05-27
REF0014,CUST00020,CUST00095,2018-12-15,5000,2019-03-12
REF0015,CUST00270,CUST00242,2020-01-23,5000,2020-03-25
REF0016,CUST00382,CUST00220,2025-09-01,10000,2025-11-05
REF0017,CUST00382,CUST00333,2022-02-08,5000,2022-04-14
REF0018,CUST00282,CUST00328,2020-07-21,7000,2020-09-06
REF0019,CUST00282,CUST00021,2025-10-20,3000,2025-11-30
REF0020,CUST00286,CUST00227,2022-02-01,3000,2022-03-15
REF0021,CUST00291,CUST00086,2019-01-22,3000,2019-04-11
REF0022,CUST00364,CUST00317,2019-03-01,3000,2019-05-20
REF0023,CUST00364,CUST00210,2019-07-01,5000,2019-10-09
REF0024,CUST00260,CUST00111,2024-11-07,10000,2025-01-13
REF0025,CUST00086,CUST00174,2020-04-12,5000,2020-05-31
REF0026,CUST00112,CUST00245,2020-08-07,7000,2020-09-21
REF0027,CUST00287,CUST00109,2024-04-22,7000,
REF0028,CUST00210,CUST00106,2020-04-06,5000,2020-05-02
REF0029,CUST00210,CUST00062,2022-06-03,7000,2022-07-14
REF0030,CUST00020,CUST00016,2020-12-30,5000,2021-03-01
REF0031,CUST00061,CUST00297,2023-05-04,3000,2023-06-01
REF0032,CUST00085,CUST00320,2020-10-18,5000,
REF0033,CUST00158,CUST00108,2023-12-29,10000,2024-02-15
REF0034,CUST00133,CUST00184,2021-03-01,10000,2021-05-24
REF0035,CUST00323,CUST00325,2024-06-25,7000,2024-07-12
REF0036,CUST00323,CUST00216,2025-01-04,10000,2025-02-16
REF0037,CUST00323,CUST00009,2024-10-27,5000,2025-01-12
REF0038,CUST00323,CUST00324,2022-07-10,7000,2022-07-29
REF0039,CUST00008,CUST00286,2022-10-01,3000,
REF0040,CUST00042,CUST00260,2020-09-08,3000,2020-10-21
REF0041,CUST00004,CUST00294,2021-05-06,7000,2021-07-03
REF0042,CUST00368,CUST00150,2025-10-01,5000,2025-11-22
REF0043,CUST00060,CUST00198,2019-06-21,5000,2019-08-05
REF0044,CUST00003,CUST00235,2025-10-12,3000,2025-11-19
REF0045,CUST00107,CUST00160,2024-06-05,3000,
REF0046,CUST00185,CUST00138,2020-05-19,7000,
REF0047,CUST00242,CUST00262,2021-03-18,3000,2021-05-25
REF0048,CUST00174,CUST00384,2020-05-30,5000,2020-08-22
REF0049,CUST00384,CUST00092,2021-01-10,5000,
REF0050,CUST00384,CUST00259,2022-11-07,10000,2022-11-24
REF0051,CUST00329,CUST00156,2019-11-15,3000,
REF0052,CUST00363,CUST00097,2021-06-10,10000,2021-07-11
REF0053,CUST00348,CUST00389,2021-05-03,3000,2021-07-07
REF0054,CUST00133,CUST00070,2019-12-25,5000,
REF0055,CUST00127,CUST00284,2023-01-20,5000,2023-03-08
REF0056,CUST00338,CUST00243,2019-02-23,3000,
REF0057,CUST00338,CUST00211,2022-02-26,3000,2022-04-03
REF0058,CUST00192,CUST00298,2021-09-20,3000,
REF0059,CUST00029,CUST00369,2024-04-09,7000,2024-06-16
REF0060,CUST00029,CUST00059,2025-01-14,7000,
REF0061,CUST00342,CUST00355,2019-08-23,7000,2019-10-10
REF0062,CUST00155,CUST00232,2021-02-03,10000,
REF0063,CUST00155,CUST00197,2020-03-12,7000,2020-05-08
REF0064,CUST00027,CUST00206,2021-07-25,5000,2021-09-04
REF0065,CUST00098,CUST00393,2021-03-03,3000,2021-04-24
REF0066,CUST00098,CUST00185,2020-09-14,5000,
