usage_id,customer_id,year_month,order_count,purchase_amount,cart_add_count,review_count,app_login_count
EU00001,CUST00356,2024-01,3,73806,3,0,17
EU00002,CUST00356,2024-02,3,280635,10,0,11
EU00003,CUST00356,2024-03,0,0,1,0,16
EU00004,CUST00356,2024-04,0,0,0,0,7
EU00005,CUST00356,2024-05,2,80616,12,2,18
EU00006,CUST00356,2024-06,1,17922,2,1,8
EU00007,CUST00356,2024-07,0,0,2,0,5
EU00008,CUST00356,2024-08,3,345054,9,0,3
EU00009,CUST00356,2024-09,0,0,0,0,5
EU00010,CUST00356,2024-10,2,188136,4,2,21
EU00011,CUST00356,2024-11,4,575632,4,0,2
EU00012,CUST00356,2024-12,3,75234,9,0,4
EU00013,CUST00109,2024-04,3,434148,8,1,5
EU00014,CUST00109,2024-05,3,93636,8,0,5
EU00015,CUST00109,2024-06,3,199215,10,3,19
EU00016,CUST00109,2024-07,4,223584,10,2,6
EU00017,CUST00109,2024-08,3,101952,7,2,8
EU00018,CUST00109,2024-09,2,231360,7,1,4
EU00019,CUST00109,2024-10,0,0,1,0,7
EU00020,CUST00109,2024-11,0,0,0,0,15
EU00021,CUST00109,2024-12,2,186232,4,2,15
EU00022,CUST00009,2024-12,4,518020,6,1,13
EU00023,CUST00141,2024-01,5,741520,13,0,16
EU00024,CUST00141,2024-02,1,99365,1,1,19
EU00025,CUST00141,2024-03,2,217536,4,2,17
EU00026,CUST00141,2024-04,1,92964,2,0,0
EU00027,CUST00141,2024-05,3,281214,8,0,12
EU00028,CUST00141,2024-06,3,211509,13,0,7
EU00029,CUST00141,2024-07,0,0,0,0,6
EU00030,CUST00141,2024-08,2,74636,7,2,8
EU00031,CUST00141,2024-09,4,291028,8,3,11
EU00032,CUST00141,2024-10,2,145972,5,1,16
EU00033,CUST00141,2024-11,1,93464,8,1,17
EU00034,CUST00141,2024-12,1,127901,3,1,3
EU00035,CUST00040,2024-01,1,147183,1,0,12
EU00036,CUST00040,2024-02,0,0,2,0,19
EU00037,CUST00040,2024-03,6,310122,16,1,9
EU00038,CUST00040,2024-04,4,582752,13,2,12
EU00039,CUST00040,2024-05,2,114026,11,2,9
EU00040,CUST00040,2024-06,1,79685,6,1,5
EU00041,CUST00040,2024-07,5,474120,15,3,3
EU00042,CUST00040,2024-08,2,96232,2,2,12
EU00043,CUST00040,2024-09,3,55401,7,1,7
EU00044,CUST00040,2024-10,3,91959,11,1,8
EU00045,CUST00040,2024-11,3,175017,3,3,4
EU00046,CUST00040,2024-12,3,202116,11,3,13
EU00047,CUST00384,2024-01,2,274146,8,2,8
EU00048,CUST00384,2024-02,4,171172,10,0,10
EU00049,CUST00384,2024-03,1,11324,4,1,5
EU00050,CUST00384,2024-04,2,263918,6,0,7
EU00051,CUST00384,2024-05,5,612265,12,2,7
EU00052,CUST00384,2024-06,4,309024,13,1,4
EU00053,CUST00384,2024-07,1,111168,7,1,5
EU00054,CUST00384,2024-08,4,175560,11,2,8
EU00055,CUST00384,2024-09,3,408360,7,3,8
EU00056,CUST00384,2024-10,2,37384,9,2,10
EU00057,CUST00384,2024-11,1,82999,2,0,2
EU00058,CUST00384,2024-12,2,243308,7,0,12
EU00059,CUST00383,2024-01,1,46689,2,1,15
EU00060,CUST00383,2024-02,1,113665,1,1,15
EU00061,CUST00383,2024-03,1,12732,6,1,14
EU00062,CUST00383,2024-04,0,0,6,0,15
EU00063,CUST00393,2024-01,3,271341,4,1,20
EU00064,CUST00393,2024-02,0,0,0,0,11
EU00065,CUST00393,2024-03,1,142869,6,0,8
EU00066,CUST00393,2024-04,3,369918,10,0,14
EU00067,CUST00393,2024-05,3,208062,11,1,14
EU00068,CUST00393,2024-06,1,21612,1,0,16
EU00069,CUST00393,2024-07,5,348010,16,0,17
EU00070,CUST00393,2024-08,1,93912,1,1,13
EU00071,CUST00393,2024-09,3,339624,12,1,6
EU00072,CUST00393,2024-10,1,46790,7,1,8
EU00073,CUST00393,2024-11,2,243250,4,2,12
EU00074,CUST00393,2024-12,0,0,1,0,13
EU00075,CUST00123,2024-01,0,0,0,0,20
EU00076,CUST00123,2024-02,3,152172,8,1,12
EU00077,CUST00123,2024-03,3,69570,8,2,22
EU00078,CUST00123,2024-04,2,263766,5,2,9
EU00079,CUST00123,2024-05,4,359828,12,1,22
EU00080,CUST00123,2024-06,2,55316,3,2,4
EU00081,CUST00123,2024-07,0,0,2,0,6
EU00082,CUST00123,2024-08,4,104272,4,0,13
EU00083,CUST00123,2024-09,4,464192,9,2,9
EU00084,CUST00123,2024-10,4,356516,12,3,3
EU00085,CUST00123,2024-11,2,93726,6,0,12
EU00086,CUST00123,2024-12,1,62465,1,0,15
EU00087,CUST00265,2024-01,1,112236,1,0,7
EU00088,CUST00265,2024-02,1,70116,6,1,10
EU00089,CUST00265,2024-03,3,86037,6,3,8
EU00090,CUST00265,2024-04,1,95990,2,1,10
EU00091,CUST00265,2024-05,4,330988,7,2,7
EU00092,CUST00265,2024-06,4,313952,14,3,15
EU00093,CUST00265,2024-07,2,157284,2,2,17
EU00094,CUST00265,2024-08,0,0,5,0,14
EU00095,CUST00265,2024-09,2,39012,2,0,9
EU00096,CUST00265,2024-10,1,118441,2,0,6
EU00097,CUST00265,2024-11,3,178665,7,3,3
EU00098,CUST00265,2024-12,5,389510,15,3,11
EU00099,CUST00322,2024-01,4,365956,8,3,14
EU00100,CUST00322,2024-02,3,187074,11,2,6
EU00101,CUST00322,2024-03,3,81594,7,3,19
EU00102,CUST00322,2024-04,1,83373,5,1,15
EU00103,CUST00322,2024-05,7,933030,13,2,12
EU00104,CUST00322,2024-06,2,119834,7,0,10
EU00105,CUST00322,2024-07,0,0,0,0,7
EU00106,CUST00322,2024-08,2,186980,7,0,13
EU00107,CUST00322,2024-09,2,230680,9,2,7
EU00108,CUST00322,2024-10,3,40923,11,0,17
EU00109,CUST00322,2024-11,3,55605,7,1,14
EU00110,CUST00322,2024-12,2,212420,6,0,17
EU00111,CUST00007,2024-08,5,551265,9,0,8
EU00112,CUST00007,2024-09,1,97917,7,1,8
EU00113,CUST00007,2024-10,4,579552,11,0,9
EU00114,CUST00007,2024-11,4,214740,12,0,14
EU00115,CUST00007,2024-12,2,294250,2,0,10
EU00116,CUST00160,2024-06,4,307248,8,2,11
EU00117,CUST00160,2024-07,2,85800,8,1,19
EU00118,CUST00160,2024-08,4,166612,16,1,13
EU00119,CUST00160,2024-09,3,379869,10,1,5
EU00120,CUST00160,2024-10,1,54601,6,1,8
EU00121,CUST00160,2024-11,1,46405,1,0,14
EU00122,CUST00160,2024-12,6,898908,12,3,8
EU00123,CUST00069,2024-01,0,0,0,0,0
EU00124,CUST00069,2024-02,4,192056,13,2,12
EU00125,CUST00069,2024-03,3,395355,6,3,9
EU00126,CUST00069,2024-04,1,64239,6,1,2
EU00127,CUST00069,2024-05,1,134850,5,1,11
EU00128,CUST00104,2024-01,4,547172,13,0,20
EU00129,CUST00104,2024-02,2,116992,6,2,8
EU00130,CUST00104,2024-03,1,62939,7,0,3
EU00131,CUST00104,2024-04,0,0,0,0,8
EU00132,CUST00104,2024-05,4,39608,10,0,9
EU00133,CUST00104,2024-06,2,239584,9,2,11
EU00134,CUST00104,2024-07,2,81998,9,2,9
EU00135,CUST00104,2024-08,0,0,2,0,10
EU00136,CUST00104,2024-09,1,125676,1,1,9
EU00137,CUST00104,2024-10,2,31476,10,1,13
EU00138,CUST00104,2024-11,2,184402,6,1,11
EU00139,CUST00104,2024-12,2,230488,8,1,9
EU00140,CUST00090,2024-01,1,61819,1,1,17
EU00141,CUST00090,2024-02,1,85448,1,1,8
EU00142,CUST00090,2024-03,0,0,4,0,3
EU00143,CUST00090,2024-04,5,330075,9,2,12
EU00144,CUST00090,2024-05,1,115809,4,1,12
EU00145,CUST00090,2024-06,2,51606,2,0,6
EU00146,CUST00090,2024-07,4,51304,10,1,5
EU00147,CUST00090,2024-08,1,101682,1,1,12
EU00148,CUST00090,2024-09,2,292922,3,2,19
EU00149,CUST00090,2024-10,4,229052,9,2,10
EU00150,CUST00090,2024-11,3,222633,4,0,1
EU00151,CUST00170,2024-01,4,273124,12,0,12
EU00152,CUST00170,2024-02,4,300892,11,0,16
EU00153,CUST00170,2024-03,1,146667,2,1,9
